ServiceNo,Operator,Category,OriginCode,DestinationCode
74,SBST,TRUNK,11379,64009
76,SBST,TRUNK,55509,82009
76,SBST,TRUNK,82009,55509
7A,SBST,TRUNK,84009,09022
7B,SBST,TRUNK,17009,08057
8,SBST,TRUNK,75009,52009
8,SBST,TRUNK,52009,75009
80,SBST,TRUNK,67009,14009
80,SBST,TRUNK,14009,67009
800,SBST,FEEDER,59009,59009
803,SBST,FEEDER,59009,59009
804,SBST,FEEDER,59009,59009
805,SBST,FEEDER,59009,59009
806,SBST,FEEDER,59009,59009
807,SBST,FEEDER,59009,59009
807A,SBST,FEEDER,59009,59569
807B,SBST,FEEDER,59009,59309
80A,SBST,TRUNK,67009,81089
81,SBST,TRUNK,75009,75009
811,SBST,FEEDER,59009,59009
811A,SBST,FEEDER,59009,59159
811T,SBST,FEEDER,59009,59009
812,SBST,FEEDER,59009,59009
812T,SBST,FEEDER,59009,59009
850E,SBST,EXPRESS,59581,03218
850E,SBST,EXPRESS,03222,59579
851,SBST,TRUNK,59009,10009
851,SBST,TRUNK,10009,59009
851e,SBST,EXPRESS,59009,05019
851e,SBST,EXPRESS,05012,59009
852,SBST,TRUNK,59009,43009
852,SBST,TRUNK,43009,59009
86,SBST,TRUNK,67009,54009
86,SBST,TRUNK,54009,67009
860,SBST,TRUNK,55509,55509
860T,SBST,TRUNK,55509,59009
86A,SBST,TRUNK,68119,55189
86B,SBST,TRUNK,55181,68111
87,SBST,TRUNK,67009,84009
87,SBST,TRUNK,84009,67009
88,SBST,TRUNK,77009,52009
88,SBST,TRUNK,52009,77009
88A,SBST,TRUNK,65069,54269
88B,SBST,TRUNK,54261,66471
89,SBST,TRUNK,64009,64009
89A,SBST,TRUNK,65199,95039
89e,SBST,EXPRESS,64009,95049
89e,SBST,EXPRESS,95051,64009
9,SBST,TRUNK,84009,84009
90,SBST,TRUNK,52009,52009
90A,SBST,TRUNK,52009,71189
91,SBST,TRUNK,11379,11379
92,SBST,TRUNK,11009,11009
92A,SBST,TRUNK,11369,18281
93,SBST,TRUNK,14009,82009
